planned_id,case_id,condition,role,applicability,first_contract,request_count,transport_retry_count,structure_repair_count,semantic_revision_request_count,prompt_tokens_known,prompt_tokens,output_tokens_known,output_tokens,total_tokens_known,total_tokens,visible_output_tokens,thinking_tokens_known,thinking_tokens,thinking_status,usage_incomplete,usage_missing_fields,usage_missing_calls,total_token_basis
ai_education-A,ai_education,A,single,applicable,"{""value"": 1.0, ""numerator"": 4, ""denominator"": 4, ""state"": ""observed"", ""reason"": null}",4,0,0,0,40,40,20,20,60,60,20,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,research,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,strategy,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,finance,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,writer,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,research_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,strategy_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,finance_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,final_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,Revision,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,Supervisor,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-A,ai_education,A,export,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,single,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,research,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,strategy,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,finance,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,writer,applicable,"{""value"": 1.0, ""numerator"": 4, ""denominator"": 4, ""state"": ""observed"", ""reason"": null}",4,0,0,0,40,40,20,20,60,60,20,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,research_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,strategy_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,finance_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,final_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,Revision,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,Supervisor,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-D,ai_education,D,export,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,single,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,research,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,strategy,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,finance,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,writer,applicable,"{""value"": 1.0, ""numerator"": 4, ""denominator"": 4, ""state"": ""observed"", ""reason"": null}",4,0,0,0,40,40,20,20,60,60,20,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,research_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,strategy_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,finance_critic,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,final_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,Revision,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,Supervisor,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-B,ai_education,B,export,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,single,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,research,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,strategy,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,finance,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,writer,applicable,"{""value"": 1.0, ""numerator"": 4, ""denominator"": 4, ""state"": ""observed"", ""reason"": null}",4,0,0,0,40,40,20,20,60,60,20,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,research_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,strategy_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,finance_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,final_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,Revision,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,Supervisor,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
ai_education-C,ai_education,C,export,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
intelligent_ring-C,intelligent_ring,C,single,not_applicable,"{""value"": null, ""numerator"": 0, ""denominator"": 0, ""state"": ""not_applicable"", ""reason"": ""zero_denominator""}",0,0,0,0,0,0,0,0,0,0,0,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
intelligent_ring-C,intelligent_ring,C,research,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
intelligent_ring-C,intelligent_ring,C,strategy,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
intelligent_ring-C,intelligent_ring,C,finance,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
intelligent_ring-C,intelligent_ring,C,writer,applicable,"{""value"": 1.0, ""numerator"": 4, ""denominator"": 4, ""state"": ""observed"", ""reason"": null}",4,0,0,0,40,40,20,20,60,60,20,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
intelligent_ring-C,intelligent_ring,C,research_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
intelligent_ring-C,intelligent_ring,C,strategy_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
intelligent_ring-C,intelligent_ring,C,finance_critic,applicable,"{""value"": 1.0, ""numerator"": 1, ""denominator"": 1, ""state"": ""observed"", ""reason"": null}",1,0,0,0,10,10,5,5,15,15,5,0,0,not_applicable,False,[],0,provider total (includes returned thinking); never add thinking to total again
