planned_id,case_id,condition,node_scope_id,status,budget
ai_education-A,ai_education,A,b624d4de85ca40679062e1dfe87a6195.single,started,"{""max_requests"": 18, ""max_total_tokens"": 160000, ""request_count"": 0, ""retry_count"": 0, ""remaining_requests"": 18, ""remaining_tokens"": 160000, ""exhausted"": false, ""charged_total_tokens"": 0, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 0, ""actual_output_tokens_known"": 0, ""actual_total_tokens_known"": 0, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.9530000000013388, ""node_elapsed_seconds"": 0.0, ""node_scope_id"": ""b624d4de85ca40679062e1dfe87a6195.single"", ""node_role"": ""single"", ""node_effective_seconds"": 1200.0, ""node_deadline_run_elapsed_seconds"": 1200.9530000000013, ""effective_deadline_run_elapsed_seconds"": 1200.9530000000013, ""effective_request_timeout_seconds"": 420.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200.0, ""research_output_caps"": {""body"": 640, ""grounding"": 2304, ""single"": 2304}, ""configured_max_output_tokens"": 8192, ""configured_thinking_budget"": 1024, ""effective_max_output_tokens"": null}"
ai_education-A,ai_education,A,b624d4de85ca40679062e1dfe87a6195.single,completed,"{""max_requests"": 18, ""max_total_tokens"": 160000, ""request_count"": 1, ""retry_count"": 0, ""remaining_requests"": 17, ""remaining_tokens"": 153905, ""exhausted"": false, ""charged_total_tokens"": 6095, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 3511, ""actual_output_tokens_known"": 1806, ""actual_total_tokens_known"": 6095, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 12.359000000000378, ""node_elapsed_seconds"": 11.40599999999904, ""node_scope_id"": ""b624d4de85ca40679062e1dfe87a6195.single"", ""node_role"": ""single"", ""node_effective_seconds"": 1200.0, ""node_deadline_run_elapsed_seconds"": 1200.9530000000013, ""effective_deadline_run_elapsed_seconds"": 1200.9530000000013, ""effective_request_timeout_seconds"": 420.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200.0, ""research_output_caps"": {""body"": 640, ""grounding"": 2304, ""single"": 2304}, ""configured_max_output_tokens"": 8192, ""configured_thinking_budget"": 1024, ""effective_max_output_tokens"": null}"
ai_education-B,ai_education,B,eac92ec822624ba487358598af7d0a17.research,started,"{""max_requests"": 18, ""max_total_tokens"": 160000, ""request_count"": 0, ""retry_count"": 0, ""remaining_requests"": 18, ""remaining_tokens"": 160000, ""exhausted"": false, ""charged_total_tokens"": 0, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 0, ""actual_output_tokens_known"": 0, ""actual_total_tokens_known"": 0, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 0, ""revision_request_count"": 0, ""run_elapsed_seconds"": 0.6100000000005821, ""node_elapsed_seconds"": 0.0, ""node_scope_id"": ""eac92ec822624ba487358598af7d0a17.research"", ""node_role"": ""research"", ""node_effective_seconds"": 1200.0, ""node_deadline_run_elapsed_seconds"": 1200.6100000000006, ""effective_deadline_run_elapsed_seconds"": 1200.6100000000006, ""effective_request_timeout_seconds"": 420.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200.0, ""research_output_caps"": {""body"": 640, ""grounding"": 2304, ""single"": 2304}, ""configured_max_output_tokens"": 8192, ""configured_thinking_budget"": 1024, ""effective_max_output_tokens"": null}"
ai_education-B,ai_education,B,eac92ec822624ba487358598af7d0a17.research,completed,"{""max_requests"": 18, ""max_total_tokens"": 160000, ""request_count"": 2, ""retry_count"": 0, ""remaining_requests"": 16, ""remaining_tokens"": 152245, ""exhausted"": false, ""charged_total_tokens"": 7755, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 3862, ""actual_output_tokens_known"": 2192, ""actual_total_tokens_known"": 7755, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 1, ""revision_request_count"": 0, ""run_elapsed_seconds"": 18.64099999999962, ""node_elapsed_seconds"": 18.03099999999904, ""node_scope_id"": ""eac92ec822624ba487358598af7d0a17.research"", ""node_role"": ""research"", ""node_effective_seconds"": 1200.0, ""node_deadline_run_elapsed_seconds"": 1200.6100000000006, ""effective_deadline_run_elapsed_seconds"": 1200.6100000000006, ""effective_request_timeout_seconds"": 420.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200.0, ""research_output_caps"": {""body"": 640, ""grounding"": 2304, ""single"": 2304}, ""configured_max_output_tokens"": 8192, ""configured_thinking_budget"": 1024, ""effective_max_output_tokens"": null}"
ai_education-B,ai_education,B,eac92ec822624ba487358598af7d0a17.strategy,started,"{""max_requests"": 18, ""max_total_tokens"": 160000, ""request_count"": 2, ""retry_count"": 0, ""remaining_requests"": 16, ""remaining_tokens"": 152245, ""exhausted"": false, ""charged_total_tokens"": 7755, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 3862, ""actual_output_tokens_known"": 2192, ""actual_total_tokens_known"": 7755, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 1, ""revision_request_count"": 0, ""run_elapsed_seconds"": 18.64099999999962, ""node_elapsed_seconds"": 0.0, ""node_scope_id"": ""eac92ec822624ba487358598af7d0a17.strategy"", ""node_role"": ""strategy"", ""node_effective_seconds"": 1200.0, ""node_deadline_run_elapsed_seconds"": 1218.6409999999996, ""effective_deadline_run_elapsed_seconds"": 1218.6409999999996, ""effective_request_timeout_seconds"": 420.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200.0, ""research_output_caps"": {""body"": 640, ""grounding"": 2304, ""single"": 2304}, ""configured_max_output_tokens"": 8192, ""configured_thinking_budget"": 1024, ""effective_max_output_tokens"": null}"
ai_education-B,ai_education,B,eac92ec822624ba487358598af7d0a17.strategy,completed,"{""max_requests"": 18, ""max_total_tokens"": 160000, ""request_count"": 3, ""retry_count"": 0, ""remaining_requests"": 15, ""remaining_tokens"": 146986, ""exhausted"": false, ""charged_total_tokens"": 13014, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 6793, ""actual_output_tokens_known"": 3499, ""actual_total_tokens_known"": 13014, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 1, ""revision_request_count"": 0, ""run_elapsed_seconds"": 28.860000000000582, ""node_elapsed_seconds"": 10.21900000000096, ""node_scope_id"": ""eac92ec822624ba487358598af7d0a17.strategy"", ""node_role"": ""strategy"", ""node_effective_seconds"": 1200.0, ""node_deadline_run_elapsed_seconds"": 1218.6409999999996, ""effective_deadline_run_elapsed_seconds"": 1218.6409999999996, ""effective_request_timeout_seconds"": 420.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200.0, ""research_output_caps"": {""body"": 640, ""grounding"": 2304, ""single"": 2304}, ""configured_max_output_tokens"": 8192, ""configured_thinking_budget"": 1024, ""effective_max_output_tokens"": null}"
ai_education-B,ai_education,B,eac92ec822624ba487358598af7d0a17.finance,started,"{""max_requests"": 18, ""max_total_tokens"": 160000, ""request_count"": 3, ""retry_count"": 0, ""remaining_requests"": 15, ""remaining_tokens"": 146986, ""exhausted"": false, ""charged_total_tokens"": 13014, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 6793, ""actual_output_tokens_known"": 3499, ""actual_total_tokens_known"": 13014, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 1, ""revision_request_count"": 0, ""run_elapsed_seconds"": 28.860000000000582, ""node_elapsed_seconds"": 0.0, ""node_scope_id"": ""eac92ec822624ba487358598af7d0a17.finance"", ""node_role"": ""finance"", ""node_effective_seconds"": 1200.0, ""node_deadline_run_elapsed_seconds"": 1228.8600000000006, ""effective_deadline_run_elapsed_seconds"": 1228.8600000000006, ""effective_request_timeout_seconds"": 420.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200.0, ""research_output_caps"": {""body"": 640, ""grounding"": 2304, ""single"": 2304}, ""configured_max_output_tokens"": 8192, ""configured_thinking_budget"": 1024, ""effective_max_output_tokens"": null}"
ai_education-B,ai_education,B,eac92ec822624ba487358598af7d0a17.finance,completed,"{""max_requests"": 18, ""max_total_tokens"": 160000, ""request_count"": 4, ""retry_count"": 0, ""remaining_requests"": 14, ""remaining_tokens"": 139993, ""exhausted"": false, ""charged_total_tokens"": 20007, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 11393, ""actual_output_tokens_known"": 4969, ""actual_total_tokens_known"": 20007, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 1, ""revision_request_count"": 0, ""run_elapsed_seconds"": 39.48500000000058, ""node_elapsed_seconds"": 10.625, ""node_scope_id"": ""eac92ec822624ba487358598af7d0a17.finance"", ""node_role"": ""finance"", ""node_effective_seconds"": 1200.0, ""node_deadline_run_elapsed_seconds"": 1228.8600000000006, ""effective_deadline_run_elapsed_seconds"": 1228.8600000000006, ""effective_request_timeout_seconds"": 420.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200.0, ""research_output_caps"": {""body"": 640, ""grounding"": 2304, ""single"": 2304}, ""configured_max_output_tokens"": 8192, ""configured_thinking_budget"": 1024, ""effective_max_output_tokens"": null}"
ai_education-B,ai_education,B,eac92ec822624ba487358598af7d0a17.writer,started,"{""max_requests"": 18, ""max_total_tokens"": 160000, ""request_count"": 4, ""retry_count"": 0, ""remaining_requests"": 14, ""remaining_tokens"": 139993, ""exhausted"": false, ""charged_total_tokens"": 20007, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 11393, ""actual_output_tokens_known"": 4969, ""actual_total_tokens_known"": 20007, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 1, ""revision_request_count"": 0, ""run_elapsed_seconds"": 39.48500000000058, ""node_elapsed_seconds"": 0.0, ""node_scope_id"": ""eac92ec822624ba487358598af7d0a17.writer"", ""node_role"": ""writer"", ""node_effective_seconds"": 1200.0, ""node_deadline_run_elapsed_seconds"": 1239.4850000000006, ""effective_deadline_run_elapsed_seconds"": 1239.4850000000006, ""effective_request_timeout_seconds"": 420.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200.0, ""research_output_caps"": {""body"": 640, ""grounding"": 2304, ""single"": 2304}, ""configured_max_output_tokens"": 8192, ""configured_thinking_budget"": 1024, ""effective_max_output_tokens"": null}"
ai_education-B,ai_education,B,eac92ec822624ba487358598af7d0a17.writer,completed,"{""max_requests"": 18, ""max_total_tokens"": 160000, ""request_count"": 6, ""retry_count"": 0, ""remaining_requests"": 12, ""remaining_tokens"": 127569, ""exhausted"": false, ""charged_total_tokens"": 32431, ""token_counter_basis"": ""budget_charge_actual_or_retained_estimate"", ""actual_prompt_tokens_known"": 20127, ""actual_output_tokens_known"": 6927, ""actual_total_tokens_known"": 32431, ""usage_missing_calls"": 0, ""transport_retry_count"": 0, ""structure_repair_request_count"": 1, ""revision_request_count"": 0, ""run_elapsed_seconds"": 55.31299999999828, ""node_elapsed_seconds"": 15.8279999999977, ""node_scope_id"": ""eac92ec822624ba487358598af7d0a17.writer"", ""node_role"": ""writer"", ""node_effective_seconds"": 1200.0, ""node_deadline_run_elapsed_seconds"": 1239.4850000000006, ""effective_deadline_run_elapsed_seconds"": 1239.4850000000006, ""effective_request_timeout_seconds"": 420.0, ""research_profile_version"": ""research-minimal-v2"", ""research_total_seconds"": 1200.0, ""research_output_caps"": {""body"": 640, ""grounding"": 2304, ""single"": 2304}, ""configured_max_output_tokens"": 8192, ""configured_thinking_budget"": 1024, ""effective_max_output_tokens"": null}"
